"fuel_stations.city","fuel_stations.state","fuel_stations.zip","fuel_stations.plus4","fuel_stations.status_code","fuel_stations.access_code"
"Portland","OR","97205",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Lincoln City","OR","97367",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Salem","OR","97301",NA,"E","private"
"Ashland","OR","97520",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Ashland","OR","97520",NA,"E","private"
"Salem","OR","97302",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Christmas Valley","OR","97641",NA,"E","public"
"Clackamas","OR","97015",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Portland","OR","97220",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Portland","OR","97233",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Portland","OR","97233",NA,"E","public"
"Portland","OR","97209",NA,"E","public"
"Portland","OR","97214",NA,"E","public"
"Gresham","OR","97080",NA,"E","public"
"Beaverton","OR","97006",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Portland","OR","97227",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Tualatin","OR","97062",NA,"E","public"
"Portland","OR","97239",NA,"E","public"
"Hood River","OR","97031",NA,"E","public"
"Sandy","OR","97055",NA,"E","public"
"Gresham","OR","97030",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"PORTLAND","OR","97215",NA,"E","private"
"Portland","OR","97204",NA,"E","public"
"Portland","OR","97214",NA,"E","public"
"Corvallis","OR","97333",NA,"E","public"
"Salem","OR","97304",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Corvallis","OR","97331",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Forest Grove","OR","97116",NA,"E","public"
"Portland","OR","97225",NA,"E","public"
"Portland","OR","97213",NA,"E","private"
"Milwaukie","OR","97222",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Tigard","OR","97224",NA,"E","public"
"Portland","OR","97213",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Portland","OR","97086",NA,"E","public"
"Salem","OR","97302",NA,"E","public"
"Happy Valley","OR","97086",NA,"E","public"
"Eugene","OR","97404",NA,"E","public"
"Beaverton","OR","97006",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Falls City","OR","97344",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Carlton","OR","97111",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Portland","OR","97202",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Portland","OR","97224",NA,"E","public"
"Corvallis","OR","97331",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Molalla","OR","97038",NA,"E","public"
"Portland","OR","97233",NA,"E","public"
"Newberg","OR","97132",NA,"E","public"
"Wood Village","OR","97060",NA,"E","public"
"Tillamook","OR","97134",NA,"E","private"
"Redmond","OR","97756",NA,"E","public"
"Portland","OR","97210",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Portland","OR","97202",NA,"E","public"
"Tillamook","OR","97141",NA,"E","public"
"Oregon City","OR","97045",NA,"E","public"
"Baker City","OR","97814",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Detroit","OR","97342",NA,"E","public"
"Grants Pass","OR","97526",NA,"E","public"
"Klamath Falls","OR","97603",NA,"E","public"
"Lincoln City","OR","97367",NA,"E","public"
"Pendleton","OR","97801",NA,"E","public"
"Sandy","OR","97055",NA,"E","public"
"Seaside","OR","97138",NA,"E","public"
"Springfield","OR","97477",NA,"E","public"
"Woodburn","OR","97071",NA,"E","public"
"Forest Grove","OR","97116",NA,"E","public"
"Forest Grove","OR","97116",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Burns","OR","97720",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Amity","OR","97101",NA,"E","public"
"Cannon Beach","OR","97110",NA,"E","public"
"La Grande","OR","97850",NA,"E","public"
"Medford","OR","97501",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Sisters","OR","97759",NA,"E","public"
"Talent","OR","97540",NA,"E","public"
"Portland","OR","97213",NA,"E","public"
"Albany","OR","97322",NA,"E","public"
"Bandon","OR","97411",NA,"E","public"
"Newport","OR","97365",NA,"E","public"
"Newport","OR","97365",NA,"E","public"
"North Bend","OR","97459",NA,"E","public"
"Reedsport","OR","97467",NA,"E","public"
"Mitchell","OR","97750",NA,"E","public"
"Troutdale","OR","97060",NA,"E","public"
"Lake Oswego","OR","97219",NA,"E","private"
"Oregon City","OR","97045",NA,"E","public"
"Oakridge","OR","97463",NA,"E","public"
"Tillamook","OR","97141",NA,"E","public"
"Woodburn","OR","97071",NA,"E","public"
"Junction City","OR","97448",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Bandon","OR","97411",NA,"E","public"
"Bandon","OR","97411",NA,"E","public"
"Bend","OR","97701",NA,"E","public"
"Bend","OR","97701",NA,"E","public"
"Bend","OR","97753",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Bend","OR","97701",NA,"E","public"
"Bend","OR","97707",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Cannon Beach","OR","97110",NA,"E","public"
"Cannon Beach","OR","97110",NA,"E","public"
"Cannon Beach","OR","97145",NA,"E","public"
"Cannon Beach","OR","97110",NA,"E","public"
"Coos Bay","OR","97420",NA,"E","public"
"Corvallis","OR","97333",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Crater Lake","OR","97604",NA,"E","public"
"Dayton","OR","97114",NA,"E","public"
"Dayton","OR","97114",NA,"E","public"
"Dayton","OR","97114",NA,"E","public"
"Depoe Bay","OR","97341",NA,"E","public"
"Dundee","OR","97115",NA,"E","public"
"Dundee","OR","97115",NA,"E","public"
"Estacada","OR","97023",NA,"E","public"
"Florence","OR","97439",NA,"E","public"
"Florence","OR","97439",NA,"E","public"
"Florence","OR","97439",NA,"E","public"
"Forest Grove","OR","97116",NA,"E","public"
"Fort Klamath","OR","97626",NA,"E","public"
"Gleneden Beach","OR","97388",NA,"E","public"
"Hood River","OR","97031",NA,"E","public"
"John Day","OR","97845",NA,"E","public"
"Joseph","OR","97846",NA,"E","public"
"Junction City","OR","97448",NA,"E","public"
"Klamath Falls","OR","97601",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Lake Oswego","OR","97219",NA,"E","public"
"McMinnville","OR","97128",NA,"E","public"
"McMinnville","OR","97128",NA,"E","public"
"McMinnville","OR","97128",NA,"E","public"
"Medford","OR","97504",NA,"E","public"
"Milwaukie","OR","97222",NA,"E","public"
"Newberg","OR","97132",NA,"E","public"
"Oceanside","OR","97134",NA,"E","public"
"Port Orford","OR","97465",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Portland","OR","97214",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Portland","OR","97209",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Portland","OR","97218",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Portland","OR","97217",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Prairie City","OR","97869",NA,"E","public"
"Redmond","OR","97756",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97304",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Silverton","OR","97381",NA,"E","public"
"Sisters","OR","97759",NA,"E","public"
"Springfield","OR","97478",NA,"E","public"
"Springfield","OR","97477",NA,"E","public"
"Sutherlin","OR","97479",NA,"E","public"
"Tillamook","OR","97141",NA,"E","public"
"Waldport","OR","97394",NA,"E","public"
"Waldport","OR","97394",NA,"E","public"
"Welches","OR","97055",NA,"E","public"
"Yachats","OR","97498",NA,"E","public"
"Yamhill","OR","97148",NA,"E","public"
"Gresham","OR","97030",NA,"E","public"
"Happy Valley","OR","97086",NA,"E","public"
"Happy Valley","OR","97086",NA,"E","public"
"Happy Valley","OR","97086",NA,"E","public"
"Happy Valley","OR","97086",NA,"E","public"
"Happy Valley","OR","97086",NA,"E","public"
"Portland","OR","97220",NA,"E","public"
"Portland","OR","97223",NA,"E","public"
"Tigard","OR","97224",NA,"E","public"
"Tigard","OR","97224",NA,"E","public"
"Troutdale","OR","97060",NA,"E","public"
"Ione","OR","97843",NA,"E","public"
"Portland","OR","97201",NA,"E","public"
"Fossil","OR","97830",NA,"E","public"
"milwaukie","OR","97222",NA,"E","public"
"Portland","OR","97205",NA,"E","public"
"Lake Oswego","OR","97219",NA,"E","private"
"Lake Oswego","OR","97219",NA,"E","private"
"Lake Oswego","OR","97219",NA,"E","private"
"Lake Oswego","OR","97034",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Hermiston","OR","97838",NA,"E","public"
"Island City","OR","97850",NA,"E","public"
"Albany","OR","97322",NA,"E","public"
"Huntington","OR","97907",NA,"E","public"
"Grants Pass","OR","97526",NA,"E","public"
"Independence","OR","97351",NA,"E","public"
"Bandon","OR","97411",NA,"E","public"
"The Dalles","OR","97058",NA,"E","public"
"Portland","OR","97223",NA,"E","public"
"Estacada","OR","97023",NA,"E","public"
"Mt Hood","OR","97041",NA,"E","public"
"North Bend","OR","97459",NA,"E","public"
"Tolovana Park","OR","97110",NA,"E","public"
"Aloha","OR","97007",NA,"E","public"
"Cornelius","OR","97113",NA,"E","public"
"Portland","OR","97204",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Bend","OR","97701",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Beaverton","OR","97005",NA,"E","private"
"Beaverton","OR","97005",NA,"E","private"
"Beaverton","OR","97005",NA,"E","private"
"Beaverton","OR","97005",NA,"E","private"
"Beaverton","OR","97006",NA,"E","private"
"Beaverton","OR","97003",NA,"E","private"
"Hillsboro","OR","97124",NA,"E","private"
"Hillsboro","OR","97006",NA,"E","private"
"Beaverton","OR","97006",NA,"E","private"
"Beaverton","OR","97006",NA,"E","private"
"Beaverton","OR","97006",NA,"E","private"
"Beaverton","OR","97003",NA,"E","private"
"Hillsboro","OR","97124",NA,"E","private"
"Hillsboro","OR","97124",NA,"E","private"
"Beaverton","OR","97006",NA,"E","private"
"Beaverton","OR","97005",NA,"E","private"
"Beaverton","OR","97005",NA,"E","private"
"Beaverton","OR","97005",NA,"E","private"
"Beaverton","OR","97006",NA,"E","private"
"Beaverton","OR","97006",NA,"E","private"
"Beaverton","OR","97003",NA,"E","private"
"Portland","OR","97209",NA,"E","private"
"Eugene","OR","97405",NA,"E","private"
"Portland","OR","97220",NA,"E","private"
"Cornelius","OR","97113",NA,"E","public"
"Hood River","OR","97031",NA,"E","public"
"Salem","OR","97304",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Portland","OR","97219",NA,"E","public"
"Rainier","OR","97048",NA,"E","public"
"Clatskanie","OR","97016",NA,"E","public"
"Beaverton","OR","97006",NA,"E","public"
"Beaverton","OR","97006",NA,"E","public"
"Tualatin","OR","97062",NA,"E","public"
"Tualatin","OR","97062",NA,"E","public"
"Hood River","OR","97031",NA,"E","public"
"Hood River","OR","97031",NA,"E","public"
"Canyonville","OR","97417",NA,"E","public"
"Gladstone","OR","97027",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Deer Island","OR","97054",NA,"E","public"
"Myrtle Creek","OR","97457",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Tigard","OR","97223",NA,"E","public"
"Canby","OR","97013",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Lake Oswego","OR","97035",NA,"E","public"
"Portland","OR","97220",NA,"E","public"
"Portland","OR","97266",NA,"E","public"
"Canby","OR","97013",NA,"E","public"
"Philomath","OR","97370",NA,"E","public"
"Redmond","OR","97756",NA,"E","public"
"Lebanon","OR","97355",NA,"E","public"
"Woodburn","OR","97071",NA,"E","public"
"Cornelius","OR","97113",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Lebanon","OR","97355",NA,"E","public"
"Hillsboro","OR","97124",NA,"E","public"
"Bend","OR","97701",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Bend","OR","97702",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Myrtle Creek","OR","97457",NA,"E","public"
"Portland","OR","97220",NA,"E","public"
"Madras","OR","97741",NA,"E","public"
"Madras","OR","97741",NA,"E","public"
"Newport","OR","97366",NA,"E","public"
"Troutdale","OR","97060",NA,"E","public"
"Independence","OR","97351",NA,"E","public"
"Ashland","OR","97520",NA,"E","public"
"Portland","OR","97227",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Portland","OR","97232",NA,"E","public"
"Portland","OR","97209",NA,"E","public"
"Hillsboro","OR","97006",NA,"E","public"
"Beaverton","OR","97005",NA,"E","public"
"Hillsboro","OR","97123",NA,"E","public"
"Lake Oswego","OR","97034",NA,"E","public"
"Lake Oswego","OR","97034",NA,"E","public"
"Tigard","OR","97224",NA,"E","public"
"Cornelius","OR","97113",NA,"E","public"
"Cannon Beach","OR","97145",NA,"E","public"
"Sherwood","OR","97140",NA,"E","public"
"Wilsonville","OR","97070",NA,"E","public"
"Dundee","OR","97115",NA,"E","public"
"Dundee","OR","97115",NA,"E","public"
"Dayton","OR","97114",NA,"E","public"
"McMinnville","OR","97128",NA,"E","public"
"Keizer","OR","97303",NA,"E","public"
"Dallas","OR","97338",NA,"E","public"
"Salem","OR","97302",NA,"E","public"
"Turner","OR","97392",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Eugene","OR","97401",NA,"E","public"
"Eugene","OR","97405",NA,"E","public"
"Eugene","OR","97405",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Roseburg","OR","97470",NA,"E","public"
"Corvallis","OR","97330",NA,"E","public"
"Portland","OR","97206",NA,"E","public"
"Lake Oswego","OR","97034",NA,"E","public"
"Salem","OR","97301",NA,"E","public"
"Salem","OR","97305",NA,"E","public"
"Portland","OR","97266",NA,"E","public"
"Madras","OR","97741",NA,"E","public"
