"zip","city","county","pop"
"97463","Oakridge","Lane","3899"
"97462","Oakland","Douglas","3730"
"97624","Chiloquin","Klamath","3573"
"97111","Carlton","Yamhill","3572"
"97734","Culver","Jefferson","3413"
"97017","Colton","Clackamas","3407"
"97327","Brownsville","Linn","3386"
"97022","Eagle Creek","Clackamas","3386"
"97396","Willamina","Yamhill","3384"
"97368","Otis","Lincoln","3319"
"97539","Shady Cove","Jackson","3311"
"97053","Warren","Columbia","3248"
"97455","Pleasant Hill","Lane","3175"
"97064","Vernonia","Columbia","3167"
"97019","Corbett","Multnomah","3167"
"97828","Enterprise","Wallowa","3162"
"97385","Sublimity","Marion","3151"
"97875","Stanfield","Umatilla","3126"
"97041","Mount Hood Parkdale","Hood River","2979"
"97042","Mulino","Clackamas","2964"
"97437","Elmira","Lane","2939"
"97331","Corvallis","Benton","2865"
"97845","John Day","Grant","2835"
"97456","Monroe","Benton","2826"
"97131","Nehalem","Tillamook","2751"
"97469","Riddle","Douglas","2731"
"97341","Depoe Bay","Lincoln","2682"
"97544","Williams","Josephine","2606"
"97380","Siletz","Lincoln","2583"
"97753","Powell Butte","Crook","2570"
"97623","Bonanza","Klamath","2566"
"97532","Merlin","Josephine","2562"
"97883","Union","Union","2526"
"97358","Lyons","Linn","2488"
"97360","Mill City","Linn","2458"
"97827","Elgin","Union","2407"
"97417","Canyonville","Douglas","2407"
"97431","Dexter","Lane","2341"
"97449","Lakeside","Coos","2170"
"97443","Glide","Douglas","2135"
"97435","Drain","Douglas","2135"
"97442","Glendale","Douglas","2047"
"97465","Port Orford","Curry","2021"
"97836","Heppner","Morrow","1941"
"97347","Grand Ronde","Polk","1902"
"97846","Joseph","Wallowa","1878"
"97112","Cloverdale","Tillamook","1867"
"97389","Tangent","Linn","1858"
"97499","Yoncalla","Douglas","1839"
"97107","Bay City","Tillamook","1828"
"97018","Columbia City","Columbia","1789"
"97868","Pilot Rock","Umatilla","1781"
"97824","Cove","Union","1774"
"97366","South Beach","Lincoln","1772"
"97738","Hines","Harney","1772"
"97067","Welches","Clackamas","1745"
"97452","Lowell","Lane","1719"
"97498","Yachats","Lincoln","1673"
"97495","Winchester","Douglas","1673"
"97049","Rhododendron","Clackamas","1647"
"97040","Mosier","Wasco","1623"
"97136","Rockaway Beach","Tillamook","1590"
"97348","Halsey","Linn","1572"
"97632","Malin","Klamath","1571"
"97541","Trail","Jackson","1559"
"97054","Deer Island","Columbia","1541"
"97497","Wolf Creek","Josephine","1514"
"97344","Falls City","Polk","1491"
"97375","Scotts Mills","Marion","1477"
"97454","Marcola","Lane","1471"
"97538","Selma","Josephine","1463"
"97121","Hammond","Clatsop","1402"
"97813","Athena","Umatilla","1392"
"97014","Cascade Locks","Hood River","1388"
"97137","St. Paul","Marion","1385"
"97416","Camas Valley","Douglas","1349"
"97324","Alsea","Benton","1322"
"97885","Wallowa","Wallowa","1295"
"97466","Powers","Coos","1272"
"97633","Merrill","Klamath","1263"
"97886","Weston","Umatilla","1256"
"97376","Seal Rock","Lincoln","1254"
"97488","Vida","Lane","1219"
"97326","Blodgett","Benton","1205"
"97641","Christmas Valley","Lake","1196"
"97110","Cannon Beach","Clatsop","1166"
"97826","Echo","Umatilla","1144"
"97810","Adams","Umatilla","1105"
"97865","Mount Vernon","Grant","1091"
"97438","Fall Creek","Lane","1084"
"97419","Cheshire","Lane","1074"
"97204","Portland","Multnomah","1036"
"97536","Prospect","Jackson","1031"
"97021","Dufur","Wasco","1012"
"97346","Gates","Marion","988"
"97037","Maupin","Wasco","975"
"97377","Shedd","Linn","967"
"97876","Summerville","Union","960"
"97434","Dorena","Lane","959"
"97413","Blue River","Lane","944"
"97869","Prairie City","Grant","930"
"97534","O Brien","Josephine","927"
"97823","Condon","Gilliam","922"
"97020","Donald","Marion","918"
"97812","Arlington","Gilliam","909"
"97834","Halfway","Baker","904"
"97063","Tygh Valley","Wasco","900"
"97820","Canyon City","Grant","899"
"97011","Brightwood","Clackamas","840"
"97453","Mapleton","Lane","835"
"97461","Noti","Lane","834"
"97867","North Powder","Union","811"
"97870","Richland","Baker","798"
"97118","Garibaldi","Tillamook","797"
"97388","Gleneden Beach","Lincoln","790"
"97489","Walterville","Lane","785"
"97481","Tenmile","Douglas","757"
"97390","Tidewater","Lincoln","750"
"97429","Days Creek","Douglas","746"
"97833","Haines","Baker","740"
"97345","Foster","Linn","731"
"97149","Neskowin","Tillamook","721"
"97117","Gales Creek","Washington","719"
"97135","Pacific City","Tillamook","716"
"97901","Adrian","Malheur","710"
"97436","Elkton","Douglas","698"
"97492","Westfir","Lane","667"
"97486","Umpqua","Douglas","663"
"97371","Rickreall","Polk","659"
"97639","Sprague River","Klamath","659"
"97843","Ione","Morrow","643"
"97830","Fossil","Wheeler","642"
"97108","Beaver","Tillamook","640"
"97627","Keno","Klamath","638"
"97410","Azalea","Douglas","637"
"97543","Wilderville","Josephine","600"
"97065","Wasco","Sherman","598"
"97737","Gilchrist","Klamath","591"
"97447","Idleyld Park","Douglas","590"
"97522","Butte Falls","Jackson","588"
"97441","Gardiner","Douglas","586"
"97531","Kerby","Josephine","578"
"97638","Silver Lake","Lake","559"
"97841","Imbler","Union","553"
"97039","Moro","Sherman","552"
"97857","Lostine","Wallowa","551"
"97109","Buxton","Washington","538"
"97910","Jordan Valley","Malheur","526"
"97412","Blachly","Lane","518"
"97636","Paisley","Lake","503"
"97907","Huntington","Baker","501"
"97364","Neotsu","Lincoln","464"
"97622","Bly","Klamath","458"
"97874","Spray","Wheeler","444"
"97130","Manzanita","Tillamook","435"
"97450","Langlois","Curry","413"
"97122","Hebo","Tillamook","396"
"97451","Lorane","Lane","391"
"97733","Crescent","Klamath","391"
"97625","Dairy","Klamath","387"
"97731","Chemult","Klamath","371"
"97493","Westlake","Lane","367"
"97856","Long Creek","Grant","358"
"97750","Mitchell","Wheeler","354"
"97145","Tolovana Park","Clatsop","352"
"97147","Wheeler","Tillamook","349"
"97430","Deadwood","Lane","349"
"97476","Sixes","Curry","343"
"97001","Antelope","Wasco","338"
"97880","Ukiah","Umatilla","338"
"97480","Swisshome","Lane","333"
"97102","Arch Cape","Clatsop","318"
"97906","Harper","Malheur","317"
"97414","Broadbent","Coos","306"
"97873","Seneca","Grant","295"
"97134","Oceanside","Tillamook","290"
"97839","Lexington","Morrow","283"
"97877","Sumpter","Baker","282"
"97125","Manning","Washington","281"
"97029","Grass Valley","Sherman","269"
"97835","Helix","Umatilla","264"
"97490","Walton","Lane","257"
"97473","Scottsburg","Douglas","254"
"97904","Drewsey","Harney","253"
"97825","Dayville","Grant","248"
"97634","Midland","Klamath","242"
"97864","Monument","Grant","226"
"97343","Eddyville","Lincoln","222"
"97730","Camp Sherman","Jefferson","222"
"97721","Princeton","Harney","222"
"97840","Oxbow","Baker","216"
"97350","Idanha","Marion","210"
"97373","Saint Benedict","Marion","196"
"97028","Government Camp","Clackamas","192"
"97848","Kimberly","Grant","192"
"97369","Otter Rock","Lincoln","187"
"97484","Tiller","Douglas","178"
"97620","Adel","Lake","177"
"97357","Logsden","Lincoln","174"
"97050","Rufus","Sherman","173"
"97635","New Pine Creek","Lake","170"
"97859","Meacham","Umatilla","151"
"97621","Beatty","Klamath","150"
"97329","Cascadia","Linn","146"
"97604","Crater Lake","Klamath","135"
"97884","Unity","Baker","129"
"97637","Plush","Lake","127"
"97640","Summer Lake","Lake","127"
"97732","Crane","Harney","123"
"97842","Imnaha","Wallowa","118"
"97144","Timber","Washington","117"
"97710","Fields","Harney","115"
"97736","Frenchglen","Harney","105"
"97909","Jamieson","Malheur","97"
"97735","Fort Rock","Lake","97"
"97342","Detroit","Marion","89"
"97758","Riley","Harney","89"
"97712","Brothers","Deschutes","86"
"97905","Durkee","Baker","85"
"97751","Paulina","Crook","77"
"97920","Westfall","Malheur","73"
"97911","Juntura","Malheur","69"
"97494","Wilbur","Douglas","67"
"97722","Diamond","Harney","65"
"97837","Hereford","Baker","60"
"97817","Bates","Grant","60"
"97903","Brogan","Malheur","51"
"97033","Kent","Sherman","50"
"97406","Agness","Curry","48"
"97626","Fort Klamath","Klamath","45"
"97908","Ironside","Malheur","38"
"97711","Ashwood","Jefferson","32"
"97819","Bridgeport","Baker","17"
"97057","Shaniko","Wasco","9"
"97384","Mehama","Marion","0"
"97208","Portland","Multnomah","0"
"97752","Post","Crook","0"
